ppn,isbn_normalise,titre,annee,nomAuteur,lieuPublication,editeur,sujet,raisons,Source,Ensemble,Acquisition,Occupations,date_naissance,date_deces
027151824,9782233005403,L'OSCE : trente ans après l'acte final de Helsinki ; sécurité coopérative et dimension humaine,2008,Serge Sur,Paris,A. Pedone,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782233005847,<<La>> politique juridique extérieure des Etats-Unis à l'égard de la Cour pénale internationale,2010,"Fernandez, Julian",Paris,A. Pedone,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782233006462,<<Les>> dynamiques du droit international,2012,"Sur, Serge",Paris,A. Pedone,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782233007315,"Liber amicorum en l'honneur de Serge Sur : «cependant j'ai besoin d'écrire...», Lautrémont",2014,"Sur, Serge",Paris,Pedone,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782233010322,Représentations du droit international public,2023,"Alland, Denis",Paris,Editions Pedone,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782233010896,Pétrole et relations internationales,2024,"Piram, Keyvan",Paris,Éditions Pedone,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782247050192,"2002, élections abracadabrantesques",2002,"Sur, Serge",Paris,Dalloz,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782247170296,Relations internationales,2018,"Fernandez, Julian",Paris,Dalloz,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782247172641,2017 en battant la campagne,2017,"Sur, Serge",Paris,Dalloz,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782247190188,Relations internationales,2019,"Fernandez, Julian",Paris,Dalloz,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782247193981,Relations internationales,2019,"Fernandez, Julian",Paris,Dalloz,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782247212804,Relations internationales,2021,"Fernandez, Julian",Paris,Dalloz,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782248007058,Le droit international,1987,"Villey, Michel",Paris,Sirey,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782271086846,Le Conseil de sécurité des Nations Unies : entre impuissance et toute puissance,2016,"Novosseloff, Alexandra",Paris,CNRS éditions,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782275013022,<<L'>>interprétation en droit international public,1974,"Sur, Serge",Paris,Librairie générale de droit et de jurisprudence,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782275015637,"<<Le>> régime juridique de la mer Caspienne : problèmes actuels de droit international public : mémoire pour le diplôme d'études approfondies de droit international, option droit international public",1997,"Allonsius, David",Paris,L.G.D.J.,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782275041322,Relations internationales,2016,"Sur, Serge",Issy-les-Moulineaux,LGDJ,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782275041629,Droit international public,2014,"Combacau, Jean",Paris,LGDJ Lextenso éditions,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782275045092,Droit international public,2016,"Combacau, Jean",Issy-les-Moulineaux,LGDJ,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782275054803,Droit international public,2019,"Combacau, Jean",Paris La Défense,"LGDJ, une marque de Lextenso",,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782284020608,Les activités opérationnelles de l'UNESCO : acteurs - mécanismes et instruments juridiques,1997,"Ngao, Hervé Henry",Villeneuve d'Ascq,Presses universitaires du Septentrion,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782336474830,La douane face aux défis d'un monde en mutation,2025,"Sur, Serge",Paris,L'Harmattan,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782343232355,"Géopolitique et cinéma : image(s) de la puissance, puissance des images",2021,"Didat, Maxime",Paris,L'Harmattan,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782376510215,Annuaire français de relations internationales 2019,2019,Serge Sur,Bruxelles - Paris,Bruylant - Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782376510765,Les tribunaux militaires américains : pourvoir exécutif et pouvoir judiciaire aux États-Unis,2025,"Mourtada-Sabbah, Nada",Paris,Éditions Pantheon-Assas,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782704810727,Plaisirs du cinéma : le monde et ses miroirs,2010,"Sur, Serge",Chaintreaux,Ed. France-Empire Monde,,,NZ,Auteur,,juriste | professeur d'université,1944,
